,Important Words,Coefficient_0,Coefficient_4,Coefficient_10,Coefficient_100,Coefficient_1000,Coefficient_100000
26,months,-0.06799483707135454,-0.0673149916558846,-0.06631369825348785,-0.05359361674810469,-0.013083168652881403,-0.00015723059026998725
27,car,0.1933636943775627,0.19190361353519084,0.18975404113927102,0.16253093067092822,0.07271915433618827,0.0017649791679626783
28,still,0.1885082465481006,0.1870710941418922,0.18495542175787927,0.158163104281452,0.06849091371963877,0.0009763156070719811
29,back,-0.2689543612395523,-0.2674188868444109,-0.26516057723468406,-0.23673026891836244,-0.13467065229279282,-0.003988200327983108
30,used,0.09628419960062116,0.09543092660322747,0.09417402680044518,0.07819139505002301,0.02641564786531887,2.6304087449947248e-05
31,recommend,0.3583098421404835,0.35558240674324115,0.3515654173066499,0.30047145838397843,0.12528899402141003,0.0018334570262940532
32,first,-0.04630968787549196,-0.04644124595980781,-0.04663654869662505,-0.049205170105070264,-0.048269805526200846,-0.002003843515580473
33,even,-0.3686781946979332,-0.3663620090173202,-0.3629539572869437,-0.3199045071966847,-0.16756939547075234,-0.004365467684130986
34,perfect,0.8356932076383463,0.8285546747911551,0.8180378375428206,0.6841429449844793,0.25061384266225595,0.003988802594733372
35,nice,0.42939368687365687,0.4260243810445484,0.421060656624862,0.35781341251813237,0.14489379919818987,0.0024148389231161633
36,bag,-0.006532747236647252,-0.006367821544222303,-0.006125372830050273,-0.0030994891916521494,0.005266986307084861,0.00030346838482589645
37,two,-0.11895329160764241,-0.1182381759940718,-0.11718631044134846,-0.10393466252092487,-0.056716593378144026,-0.0016859380001841822
38,using,0.045259754445998945,0.04487301321335585,0.04430295027628208,0.03700962648570786,0.012525948169423538,-0.00014098429780224307
39,got,-0.10543375031876728,-0.10484485207163399,-0.10397908719187263,-0.09310586517685945,-0.053133927380650446,-0.0015997483279218971
40,fit,-0.14017953295124252,-0.13906101303299895,-0.13741341122363832,-0.11644638804918457,-0.046321131029474785,-0.0008158358620631679
41,around,0.11532951274619006,0.11458610143387851,0.11349262166240452,0.09972520614008798,0.05165560424704669,0.0010211465939156622
42,diaper,0.04702268393208103,0.04671351552400647,0.04625816893442718,0.04047274362020526,0.02095462563439251,0.00047424167625781085
43,enough,0.02771775361262213,0.027620312847790214,0.027477261223374315,0.025691679089142664,0.017502409735524166,0.00029128199286747704
44,month,-0.1933770621898796,-0.19149920402945733,-0.18873292538518122,-0.15357210428885545,-0.04402236006453475,-0.00039957548521662176
45,price,0.26579742591233047,0.2635995284624448,0.2603610863680884,0.21906708543574915,0.08183837350150683,0.0010767060306298441
46,go,0.07839577514863016,0.07763621106105875,0.07651749900369274,0.06232011304039591,0.01793854473463852,-0.00012113805191618326
47,could,-0.1766005231809777,-0.17562314955963876,-0.17418693325820067,-0.15623917502330323,-0.09226581186130443,-0.0029594083470034557
48,soft,0.3617825356848042,0.35905221688491024,0.35502984717428937,0.3037574057411736,0.12858660735550112,0.002331411931400725
49,since,0.10276563872776331,0.10191390331782738,0.10065807668082935,0.08455295213303865,0.03016736669299541,0.0001677479348831008
50,buy,-0.27159221731197875,-0.26973508077406866,-0.26700040379555606,-0.23226226936616787,-0.11138298443575219,-0.0026015362995599916
51,room,0.2603199032142408,0.25821672062252793,0.2551197942066354,0.21583349910022182,0.08612127302125813,0.0011625509428734254
52,works,0.3391548848563525,0.33636864578306586,0.33226212846213016,0.2797678056495172,0.10450031004600022,0.001508565333981386
53,made,-0.10768477174148315,-0.1069057501756208,-0.10575906858193955,-0.09124846750377924,-0.04209505739731379,-0.0010407172535325095
54,child,-0.05241461842652302,-0.0521574332876495,-0.051777840886676474,-0.04684331688199682,-0.026731855053569543,-0.0008773476435442105
55,keep,0.16520456437858827,0.16382584836946826,0.1617955773833581,0.13604192590735972,0.052806069477154056,0.0007811861762019186
56,size,0.18149720783033318,0.1802177811211044,0.17833387644887666,0.15441542094609048,0.07167116523460192,0.0013762967805526457
57,small,-0.1533871774310927,-0.15208469625259108,-0.1501653079979374,-0.12565212512801233,-0.04354855221284362,-0.0005442875216057197
58,need,0.2263039811141858,0.2243748014839754,0.22153318245644876,0.18540837591722012,0.06812509464829987,0.0008575992958967917
59,year,0.0692301006706127,0.06885574362799644,0.06830471210413049,0.061312577968639405,0.03455398493131853,0.0007756777688021575
60,big,0.025432953184332852,0.025369376877479914,0.025276915072656645,0.02420297018743195,0.018399937559439025,0.0004650562890083802
61,make,-0.03915474486953624,-0.03891409749459258,-0.038560693554145174,-0.034174496032868214,-0.019800536736801284,-0.000799090414968936
62,take,0.15805867097527926,0.1568260111805647,0.15501142921196354,0.13203987285396096,0.05564038152733267,0.0008256923618709864
63,easily,0.1258914834980972,0.12494277726915042,0.12354715798272267,0.10598711018010955,0.04891960333037362,0.0010526262923011447
64,think,0.10845701021909179,0.10754084599269814,0.10619162517223707,0.08906372259971161,0.03297629111628362,0.00022995661988805125
